GL_ratio,Lower Mill Gap,Upper Mill Gap,Conversion Time,Vorlauf Time,Tot Mash Time,Fraction Vorlauf Time,Vorlauf Rate,First Wort Rate,Moisture Pct,CGAI,Bushel Weight,ST Ratio,AA,DPower,Batch ID,OG Run,Lot ID,Mash Efficiency,dP Vorlauf Mean,dP Voraluf StDev,dP Vorlauf Range,dP Collection Mean,dP Collection StDev,dP Collection Range,assortment_on7,assortment_on6,assortment_on5,assortment_thru5,cellar_batch_id_selected,min_gravity,last_gravity,sieve_14,sieve_30,sieve_60,sieve_pan,max_gravity_time_collection,max_gravity_collection,max_gravity_time_wvorlauf,max_gravity_wvorlauf,max_gravity_time_from_vstart
1.41,1.15,1.75,29.51,14.17,43.684,0.324,44.65,37.26,4.6,79.1,41.2,39.5,80,160,20190221.00887 - PsycHOPathy - FV4002,96,SH0166859,89.19,1.73,0.94,3.34,3.57,1.39,6.609153271,65.6,25.6,7.2,1.6,20190221 - PsycHOPathy - FV4002,2.1,2.2,51.51027679,30.98168182,15.41742325,2.090620518,0.33,24.29,0.33,24.29,14.5
1.41,1.15,1.75,30.51,5.67,36.183,0.157,45.78,44.56,4.6,79.1,41.2,39.5,80,160,20190221.00888 - PsycHOPathy - FV4002,97,SH0166859,86.35,1.13,0.54,1.72,2.32,1.55,6.877349854,65.6,25.6,7.2,1.6,20190221 - PsycHOPathy - FV4002,2.1,2.2,55.56293488,30.75844765,12.02597046,1.652647138,5.33,22.98,5.33,22.98,11
1.41,1.15,1.75,29.68,12.5,42.185,0.296,37.98,29.91,4.6,79.1,41.2,39.5,80,160,20190221.00889 - PsycHOPathy - FV4002,98,SH0166859,87.19,1.04,0.52,1.98,1.66,1.4,7.135252953,65.6,25.6,7.2,1.6,20190221 - PsycHOPathy - FV4002,2.1,2.2,54.63766861,32.6673317,10.1898098,2.505192995,1.17,24.21,1.17,24.21,13.67
1.41,1.15,1.75,20.84,18.51,39.352,0.47,35.38,39.59,4.6,79.1,41.2,39.5,80,160,20190226.00893 - PsycHOPathy - FV4004,99,SH0166859,87.31,0.89,0.26,1.3,1.94,1.75,8.448912621,65.6,25.6,7.2,1.6,20190226 - PsycHOPathy - FV4004,2.3,2.4,51.72437286,31.02504539,10.94156265,6.309020996,0.33,23.82,0.33,23.82,18.84
1.41,1.15,1.75,30.01,20.17,50.186,0.402,37.43,37.18,4.6,79.6,40.6,45.2,83,172,20190226.00894 - PsycHOPathy - FV4004,100,SH0167401,87.54,0.95,0.48,2.1,1.67,1.54,7.915678024,61,28.1,9.1,1.8,20190226 - PsycHOPathy - FV4004,2.3,2.4,49.79769135,30.12340736,11.45053577,8.628363609,0,23.87,-4.5,24.17,15.67
1.41,1.15,1.75,45.02,7.34,52.351,0.14,45.38,37.26,4.6,79.6,40.6,45.2,83,172,20190301.00902 - PsycHOPathy - FV1002,101,SH0167401,89.47,1.05,0.44,1.53,1.82,1.71,8.438587189,61,28.1,9.1,1.8,20190301 - PsycHOPathy - FV1002,2,2.1,52.25934982,33.05921173,12.32686996,2.35457015,3,24.26,3,24.26,10.34
1.41,1.15,1.75,15.67,20.01,35.681,0.561,37.89,29.85,4.3,79.8,39.9,43.8,81,171,20190328.00931 - PsycHOPathy - FV4001,102,SH0167693,90.05,2.11,0.9,3.87,4.9,2.06,8.551956177,60,28.9,9.4,1.7,20190328 - PsycHOPathy - FV4001,1.9,1.9,48.29187775,33.79986191,16.61047173,1.297790647,0.83,24.06,-3.17,24.17,16.84
1.375,1.15,1.75,44.51,12.84,57.353,0.224,45.04,29.88,4.3,79.8,39.9,43.8,81,171,20190328.00932 - PsycHOPathy - FV4001,103,SH0167693,88.84,1.2,0.7,2.66,2.1,1.65,7.991212845,60,28.9,9.4,1.7,20190328 - PsycHOPathy - FV4001,1.9,1.9,49.85310745,31.17890739,15.73634624,3.231639147,1.17,24.2,1.17,24.2,14.01
1.41,1.15,1.75,30.68,12.5,43.184,0.29,30.59,37.15,4.7,79.3,41.2,46.1,86,158,20190410.00952 - PsycHOPathy - FV2002,104,SH0168068,85.62,0.72,0.24,1.09,1.89,1.42,7.462581635,56.9,29.6,11,2.2,20190410 - PsycHOPathy - FV2002,1.7,1.7,50.07340622,30.10766029,9.046977997,10.77195644,3.17,24.06,3.17,24.06,15.67
1.41,1.15,1.75,30.01,8.5,38.515,0.221,29.92,29.84,4.7,79.3,41.2,46.1,86,158,20190418.00960 - PsycHOPathy - FV4002,105,SH0168068,89.45,0.5,0.23,0.85,1.77,1.45,7.609523296,56.9,29.6,11,2.2,20190418 - PsycHOPathy - FV4002,1.7,1.8,47.70487595,32.08806229,17.41923523,2.787824392,11.67,23.71,11.67,23.71,20.17
1.41,1.15,1.75,44.85,20.01,64.856,0.308,30.37,44.44,4.7,79.3,41.2,46.1,86,158,20190418.00961 - PsycHOPathy - FV4002,106,SH0168068,83.27,0.36,0.26,1.17,1.83,1.02,6.957555294,56.9,29.6,11,2.2,20190418 - PsycHOPathy - FV4002,1.7,1.8,47.19411469,33.48860931,16.97357941,2.343696833,0,24.59,-3.17,24.69,16.84
1.41,1.15,1.75,30.01,16,46.016,0.348,34.82,34.8,4.7,79.3,41.2,46.1,86,158,20190425.00971 - PsycHOPathy - FV4001,107,SH0168068,89.52,0.77,0.38,1.48,1.86,1.69,8.941131592,56.9,29.6,11,2.2,20190425 - PsycHOPathy - FV4001,2.1,2.1,49.24765015,31.75041389,12.88652611,6.115409851,0.67,24.02,0.67,24.02,16.67
1.41,1.15,1.75,30.51,14.84,45.351,0.327,35.42,37.74,4.7,79.3,41.2,46.1,86,158,20190425.00972 - PsycHOPathy - FV4001,108,SH0168068,82.7,0.16,0.05,0.2,0.5,1.39,8.862614632,56.9,29.6,11,2.2,20190425 - PsycHOPathy - FV4001,2.1,2.1,47.33312607,33.87249756,13.66577244,5.128606796,0.83,23.24,0.83,23.24,15.67
1.41,1.15,1.75,30.18,15.17,45.348,0.335,35.41,39.66,4.2,79.3,42.5,39.7,69,148,20190425.00973 - PsycHOPathy - FV4001,109,SH0169442,86.03,1.07,0.41,1.78,2.05,1.83,7.988763809,63.5,27.5,7,2,20190425 - PsycHOPathy - FV4001,2.1,2.1,,,,,0,23.7,0,23.7,15.17
1.41,1.15,1.75,31.51,16,47.515,0.337,35.37,39.62,4.2,79.3,42.5,39.7,69,148,20190502.00982 - PsycHOPathy - FV4002,110,SH0169442,86.97,1.56,0.61,2.58,3.22,1.99,7.72445631,63.5,27.5,7,2,20190502 - PsycHOPathy - FV4002,2.3,2.4,48.99953461,31.93781662,15.75342369,3.309223413,0.33,24.33,0.33,24.33,16.33
1.41,1.15,1.75,30.18,15.67,45.849,0.342,34.9,39.67,4.2,79.3,42.5,39.7,69,148,20190502.00983 - PsycHOPathy - FV4002,111,SH0169442,86.72,0.93,0.5,2.11,1.93,1.75,7.868101597,63.5,27.5,7,2,20190502 - PsycHOPathy - FV4002,2.3,2.4,52.23672867,31.95705605,13.64570236,2.160513163,0.67,24.06,0.67,24.06,16.34
1.41,1.15,1.75,31.01,15.01,46.019,0.326,35.48,39.76,4.2,79.3,42.5,39.7,69,148,20190502.00984 - PsycHOPathy - FV4002,112,SH0169442,85.64,1.35,0.55,2.12,2.96,1.65,7.048344612,63.5,27.5,7,2,20190502 - PsycHOPathy - FV4002,2.3,2.4,48.51884842,32.79687119,10.64375496,8.040527344,0,23.76,0,23.76,15.01
1.41,1.15,1.75,30.68,15.34,46.018,0.333,35.39,39.65,4.3,79.3,39.6,43.9,81,172,20190514.00999 - PsycHOPathy - FV2001,113,SH0170814,89.72,1.13,0.44,1.84,2.14,1.79,9.474354744,60.7,27.9,9.3,2.1,20190514 - PsycHOPathy - FV2001,2.2,2.3,51.38785172,31.12716866,9.252380371,8.229999542,0.17,24.82,0.17,24.82,15.51
1.41,1.15,1.75,31.68,16.67,48.349,0.345,35.46,39.62,4.3,79.3,39.6,43.9,81,172,20190514.01000 - PsycHOPathy - FV2001,114,SH0170814,88.02,0.76,0.34,1.47,1.72,1.36,7.679260254,60.7,27.9,9.3,2.1,20190514 - PsycHOPathy - FV2001,2.2,2.3,48.1823082,32.44244003,10.77824211,8.597007751,0.17,24.27,0.17,24.27,16.84
1.41,1.15,1.75,30.68,15.17,45.851,0.331,35.44,39.68,4.3,79.3,39.6,43.9,81,172,20190516.01005 - PsycHOPathy - FV4002,115,SH0170814,89.3,1.06,0.42,1.97,2.16,1.63,7.605297089,60.7,27.9,9.3,2.1,20190516 - PsycHOPathy - FV4002,2.4,2.4,48.72841644,31.90737915,10.51805305,8.846152306,0.67,24.62,0.67,24.62,15.84
1.41,1.15,1.75,30.18,15.17,45.35,0.335,35.44,39.67,4.3,79.3,39.6,43.9,81,172,20190516.01006 - PsycHOPathy - FV4002,116,SH0170814,88.97,0.64,0.3,1.32,1.76,1.57,7.895109653,60.7,27.9,9.3,2.1,20190516 - PsycHOPathy - FV4002,2.4,2.4,52.21081924,31.59626389,8.935386658,7.25753212,0.17,24.11,0.17,24.11,15.34
1.41,1.15,1.75,29.68,15,44.683,0.336,35.4,39.64,4.3,79.3,39.6,43.9,81,172,20190521.01008 - PsycHOPathy - FV4004,117,SH0170814,88.85,1.13,0.46,1.96,2.33,1.52,7.036612511,60.7,27.9,9.3,2.1,20190521 - PsycHOPathy - FV4004,2.3,2.3,48.00504684,33.08365631,9.692969322,9.218327522,0.5,24.65,0.5,24.65,15.5
1.41,1.15,1.75,29.85,17.67,47.518,0.372,34.93,39.69,4.3,79.3,39.6,43.9,81,172,20190521.01009 - PsycHOPathy - FV4004,118,SH0170814,88.72,0.54,0.33,1.51,1.52,1.41,7.76019907,60.7,27.9,9.3,2.1,20190521 - PsycHOPathy - FV4004,2.3,2.3,50.83522034,31.41002464,9.657889366,8.096865654,0.67,24.18,0.67,24.18,18.34
1.41,1.2,1.85,30.68,15.01,45.685,0.328,35.38,39.58,5,79.1,42.4,44,78,174,20190607.01032 - PsycHOPathy - FV1002,119,SH0171708,89.11,0.82,0.33,1.4,2.07,1.74,8.287873268,52.9,32.7,11,3.5,20190607 - PsycHOPathy - FV1002,1.6,2.3,57.41588593,27.23108482,9.263938904,6.089090824,0.5,24.08,0.5,24.08,15.51
1.41,1.1,1.85,30.01,15.51,45.517,0.341,35,39.54,5,79.1,42.4,44,78,174,20190613.01037 - PsycHOPathy - FV2001,120,SH0171708,88.27,1.57,0.65,2.65,4.34,1.96,8.07110405,52.9,32.7,11,3.5,20190613 - PsycHOPathy - FV2001,1.8,1.9,46.41429901,32.45552063,10.66697979,10.46319962,0,24.38,0,24.38,15.51
1.375,1.2,1.65,30.18,15.84,46.015,0.344,35.02,39.73,5,79.1,42.4,44,78,174,20190613.01038 - PsycHOPathy - FV2001,121,SH0171708,86.61,0.75,0.45,1.64,2.08,1.67,7.507864952,52.9,32.7,11,3.5,20190613 - PsycHOPathy - FV2001,1.8,1.9,55.89942932,27.98369026,9.025203705,7.091677666,0.33,23.1,-0.5,23.13,15.34
1.41,1.1,1.65,29.68,15.01,44.684,0.336,35.33,39.59,4.9,79.6,41.9,43.7,86,180,20190620.01045 - PsycHOPathy - FV4001,122,SH0172361,89.22,1.16,0.36,1.85,2.22,1.71,8.22222805,60,29.9,8.4,1.7,20190620 - PsycHOPathy - FV4001,2.1,2.1,48.23651123,34.2729454,10.96596813,6.52457571,0.33,25.26,0.33,25.26,15.34
1.375,1.15,1.75,29.84,15.5,45.348,0.342,34.97,39.72,4.9,79.6,41.9,43.7,86,180,20190620.01046 - PsycHOPathy - FV4001,123,SH0172361,87.59,0.81,0.46,1.67,1.74,1.6,8.214978218,60,29.9,8.4,1.7,20190620 - PsycHOPathy - FV4001,2.1,2.1,51.42363358,30.86509705,9.57882309,8.13244915,0,24.87,-1.67,24.89,13.83
1.375,1.2,1.65,29.68,15.84,45.521,0.348,35.41,39.72,4.9,79.6,41.9,43.7,86,180,20190620.01047 - PsycHOPathy - FV4001,124,SH0172361,87.37,0.53,0.23,1.1,1.16,1.37,7.151206493,60,29.9,8.4,1.7,20190620 - PsycHOPathy - FV4001,2.1,2.1,56.5034256,27.86357498,8.770336151,6.862661362,0,24.52,0,24.52,15.84
1.41,1.15,1.75,28.84,15,43.848,0.342,35.5,39.67,4.9,79.6,41.9,43.7,86,180,20190625.01051 - PsycHOPathy - FV4003,125,SH0172361,88.76,0.66,0.21,1.04,1.68,1.55,8.090968132,60,29.9,8.4,1.7,20190625 - PsycHOPathy - FV4003,2.1,2.1,52.13054276,30.45394897,9.473359108,7.942149162,0.33,24.52,0.33,24.52,15.33
